?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_2001658>	"upper pharyngeal tooth plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal tooth plate that lies ventral to pharyngobranchials 3 and 4."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010103>	"vocal sac glands"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000829>	"margo scapularis"^^<http://www.w3.org/2001/XMLSchema#string>	"Lateral margin of the suprascapula, which articulates with the scapula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010447>	"M. extensor digitorum communis longus"^^<http://www.w3.org/2001/XMLSchema#string>	"It arises on the lateral epicondyle of the humerus by two heads: the lateral one arises by a thin tendon in common with the m.extensor carpi ulnaris with fibers proximally fused. The internal one arises by a short tendon in common with proximally fused fibers of the m. extensor carpi radialis. It divides distally in two heads: the external head inserts with a long and thin tendon on the metacarpal V, at the same point of insertion of the m. abductor brevis dorsalis digiti V; the internal one inserts by a thin tendon on the proximal region of the metacarpal IV, between the m. extensor brevis superficialis digiti IV and the m. extensor brevis medius digiti IV (Pristimantis bogotensis)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000500>	"processus posterior of maxilla"^^<http://www.w3.org/2001/XMLSchema#string>	"Posterior, toothless portion of the maxilla by which it usually comes in contact with the quadratojugal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000711>	"procoelous"^^<http://www.w3.org/2001/XMLSchema#string>	"Holochordal vertebral centra that are concave anteriorly and convex posteriorly; they bear a condyle on the posterior end for the articulation with the posterior adjacent vertebral centrum, forming a ball-and-socket joint that allows extensive motion in most directions."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005067>	"bulbus arteriosus middle layer"^^<http://www.w3.org/2001/XMLSchema#string>	"Composed of 7-10 layers of helically arranged smooth muscle cells surrounded by a fine network of collagen, reticular, and elastic fibrils. Hu et al. 2001."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000127>	"antorbital"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone positioned as the first bone of the infraorbital series. The antorbital articulates with the lacrimal or infraorbital 1 anteroventrally and the supraorbital posterodorsally. The antorbital is a paired bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000955>	"ceratobranchial I"^^<http://www.w3.org/2001/XMLSchema#string>	"Paired bar that articulates with, or is fused to, hypobranchial I. It forms the posterior portion of the posterior cornu of the hyoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000459>	"ventromedial thalamic nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200056>	"hypocercal tail"@en	"Type of tail fin where the lower lobe is the longer and is supported by the vertebral column. Asymmetrical externally as well as internally"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000235>	"magnocellular superficial pretectal nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001793>	"pharyngobranchial 4 bone uncinate process"^^<http://www.w3.org/2001/XMLSchema#string>	"Bony projection that is part of the pharyngobranchial 4."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000493>	"processus internus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002026>	"pectoral fin proximal radial 1"^^<http://www.w3.org/2001/XMLSchema#string>	"Pectoral fin proximal radial that is the most anterior or dorsal pectoral fin radial."^^<http://www.w3.org/2001/XMLSchema#string>
_:B6f9a1dbeX3A13cd0b68bb8X3AX2D6da5	"cell space"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4000018>	"obsolete ventral hyoid arch"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001880>	"rib of vertebra 3"^^<http://www.w3.org/2001/XMLSchema#string>	"Rib that articulates with the parapophysis of the third centrum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001360>	"parapineal organ"^^<http://www.w3.org/2001/XMLSchema#string>	"An unpaired left-sided accessory organ which plays a role in establishing lateral brain left right asymmetry. Gamse et al, 2003."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001354>	"mesencephalic tegmentum"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001617>	"trunk sensory canal"^^<http://www.w3.org/2001/XMLSchema#string>	"Sensory canal on trunk which is posterior to the pectoral girdle and often reaching to or onto the caudal fin. The trunk sensory canal is bilaterally paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3011081>	"obsolete posterior cardinal vein"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000689>	"supracommissural nucleus of V"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010778>	"jugal ramule"^^<http://www.w3.org/2001/XMLSchema#string>	"This ramule innervates the jugal line of neuromasts and is the dorsal branch of the ramus mandibularis externus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000010>	"obsolete notochordal mesodermal cell"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000884>	"fast muscle cell somite 30"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000834>	"posterior lamina recurvata"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the posterior ramus of the cleithrum that invests the posterior margin of the suprascapula, extending onto its dorsal surface."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2007004>	"epiphysial cluster"^^<http://www.w3.org/2001/XMLSchema#string>	"Early-developing neuronal cluster of the epiphysis. By 24 hpf the pioneer axon of the dorsoventral diencephalic tract (DVDT) has arisen from the ec and grown ventrally. As this axon encounters axons of the TPOC, it makes a near-90 rostral turn and grows rostrally among axons of the TPOC growing in the opposite direction. Ross et al., 1992."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200047>	"attachment site"@en	"Morphological struture denoting the exent of an attachment site for a soft tissue on a skeletal element."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000410>	"postcleithrum"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone placed postero-medially to the supracleithrum and/or cleithrum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001915>	"basibranchial 1 element"^^<http://www.w3.org/2001/XMLSchema#string>	"Skeletal element that is median and associated with branchial arch 1."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000942>	"paraxial mesenchyme"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001203>	"obsolete ciliary body"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002162>	"ural vertebra"^^<http://www.w3.org/2001/XMLSchema#string>	"Vertebra that is incomplete or rudimentary and may bear a rudimentary neural arch and sometimes a rudimentary spine or the neural arch and spine are completely absent. Ural vertebrae are one of the last bony elements of the vertebral column, usually smaller than the preural centra. Ural vertebrae are numbered beginning from anterior (1) to posterior (2, 3, 4, etc.). Ural vertebra is an unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001934>	"rostral plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that is located on midline of snout in skin above mesethmoid and lateral ethmoid bones. Rostral plate bears type 1 odontodes and is unpaired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001853>	"postcleithrum 2"^^<http://www.w3.org/2001/XMLSchema#string>	"Postcleithrum that articulates dorsally with postcleithrum 1, ventrally with postcleithrum 3, and anteriorly with cleithrum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002099>	"lateral line scale series"^^<http://www.w3.org/2001/XMLSchema#string>	"Anatomical cluster that consists of more than one lateral line scale."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010380>	"outer fin tissue"^^<http://www.w3.org/2001/XMLSchema#string>	"Part of the fin consisting of flattened epidermal cells elevated into a keel-like structure. "^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000712>	"opisthocoelous"^^<http://www.w3.org/2001/XMLSchema#string>	"Ectochordal or stegochordal vertebral centra that are convex anteriorly and concave posteriorly; they bear a condyle on the anterior end for the articulation with the posterior adjacent vertebral centrum, forming a ball-and-socket joint that allows extensive motion in most directions."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000426>	"rostral parvocellular preoptic nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002067>	"upper hypural set"^^<http://www.w3.org/2001/XMLSchema#string>	"Anatomical cluster including hypural 3 and more dorsal hypurals that supports the dorsal series of principal caudal lepidotrichia or rays. The upper hypural set articulates or fuses to ural centra 3, 4 or 5 (polyural terminology) or ural centrum 2 (diural terminology) depending on the teleost subgroup. The upper hypural set is composed of unpaired median bones."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000492>	"coracoradialis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000871>	"fossula tuberis superioris"^^<http://www.w3.org/2001/XMLSchema#string>	"Small depression dorsal to the proximal portion of the collum ilei and ventral to the ilial protuberance."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010005>	"muscular process"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010308>	"obsolete lymphocyte"^^<http://www.w3.org/2001/XMLSchema#string>	"A cell of the B cell, T cell, or natural killer cell lineage."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001948>	"anal-fin hook"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that is part of the anal fin lepidotrichium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000052>	"ganoid scale"^^<http://www.w3.org/2001/XMLSchema#string>	"Thick, rhomboid-shaped integumentary skeletal element composed of multiple tissues including ganoine and bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000673>	"posteromedial process"^^<http://www.w3.org/2001/XMLSchema#string>	"Cartilaginous, paired processes that extend posterolaterally from the posterior margin of the hyoid plate. These processes invest the laryngeal apparatus and are ossified in the adult."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002202>	"intermediate nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	"Diencephalic nucleus which is located between the dorsal hypothalamus and the caudal tuberal nucleus and does not contain tyrosine hydroxylase immunoreactive cells."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000414>	"presumptive cephalic mesoderm"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001472>	"anterior lateral line neuromast"^^<http://www.w3.org/2001/XMLSchema#string>	"Neuromast that is part of the anterior lateral line. Kimmel et al, 1995. (Also see Anatomical Atlas entry for lateral line by T. Whitfield.)"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010836>	"Posterolateral Supplementary Element"^^<http://www.w3.org/2001/XMLSchema#string>	"A muscle slip arising from the ventral surface of the mandible by means of the ligament near the site of mandibular articulation. The fibers pass anteromedially and attach upon the ventral surfaces of the principal element of the m. intermandibularis (Tyler, 1971)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010306>	"mitochondrial aggregate"^^<http://www.w3.org/2001/XMLSchema#string>	"A large distinctive organelle aggregate comprised of mitochondria found in developing oocytes of many species. From Pepling et al. 2007. "^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001966>	"epibranchial 5 element"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4000175>	"pectoral fin lepidotrichium"^^<http://www.w3.org/2001/XMLSchema#string>	"Lepidotrichium that is part of the pectoral fin skeleton."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200020>	"suprascapular fossa"@en	"Fossa on the medial surface on the scapula above the glenoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000098>	"proliferative region"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000509>	"processus suprafenestralis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000260>	"lamina nariochoanalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Free, dorsal margin of the lamina inferior."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000192>	"foramen perilymphaticum"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000284>	"margo tympanicus of pterygoid"^^<http://www.w3.org/2001/XMLSchema#string>	"Margin that connects the posterior and medial rami of the pterygoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001995>	"papilla"^^<http://www.w3.org/2001/XMLSchema#string>	"Surface structure that is a small, fleshy protuberance."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001373>	"migratory slow muscle precursor cell"^^<http://www.w3.org/2001/XMLSchema#string>	"Cells that initially are located adjacent to the spinal cord and notochord along that migrate from their initial medial position radially through the myotome to the lateral surface of the somites."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000690>	"supraoptic commissure"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001221>	"anterior copula"^^<http://www.w3.org/2001/XMLSchema#string>	"Copula that is ventral, median, and associated with pharyngeal arches 3-5."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010786>	"pars subvertebralis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000953>	"sclerotome somite 12"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000744>	"urostyle cotyle"^^<http://www.w3.org/2001/XMLSchema#string>	"Anterior, single or paired concave facets for articulation with the sacral condyle(s)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000131>	"dilatatio alaris"^^<http://www.w3.org/2001/XMLSchema#string>	"Flange that extends ventrally from about the middle portion of the margo mandibularis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010524>	"bronchial tube"^^<http://www.w3.org/2001/XMLSchema#string>	"Either of the short tubes which bifurcate posteriorly from the trachea and lead into the lungs."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200129>	"synarcual region"@en	"Series of fused cervical vertebrae or vertebral elements. Based on Jeffrey C. Carrier. Biology of Sharks and Their Relatives, 2012. CRC Press."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001726>	"caudal principal ray 14"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal principal ray that is ventrally adjacent to caudal principal ray 13."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000523>	"inferior reticular formation"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001534>	"pharyngobranchial 3 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngobranchial cartilage, located medial to the epibranchials and posteriorly adjacent to pharyngobranchial 2 element."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010498>	"cutaneus artery"^^<http://www.w3.org/2001/XMLSchema#string>	"Artery which supplies blood to the thymus and parotoid region."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002112>	"preural 3 vertebra"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002159>	"caudal basal fulcrum"^^<http://www.w3.org/2001/XMLSchema#string>	"Basal fulcrum that precedes a caudal fin lobe. Arratia, G. 2009. Identifying patterns of diversity of the actinopterygian fulcra. Acta Zoologica (Stockholm) 90 (Suppl. 1): 220-235."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010831>	"occipito-petrosal"^^<http://www.w3.org/2001/XMLSchema#string>	"Fusion of the occipital segment or occipital ring and otic capsule (Francis, 1934)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005344>	"preopticohypothalamic tract"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001569>	"obsolete oocyte stage V"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000945>	"inscriptional rib"^^<http://www.w3.org/2001/XMLSchema#string>	"Three pairs of cartilaginous elements posterior to the sternum that lie in the myosepta of the ventral trunk musculature."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000938>	"postzonal element"^^<http://www.w3.org/2001/XMLSchema#string>	"All those parts of the pectoral girdle that lies posterior to the zonal area."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001146>	"tooth 1MD"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial 5 tooth which is the anteriormost tooth in the mediodorsal tooth row."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000776>	"glenoid foramen"^^<http://www.w3.org/2001/XMLSchema#string>	"Opening on the glenoid fossa."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002097>	"sensory canal pore series"^^<http://www.w3.org/2001/XMLSchema#string>	"Anatomical cluster that consists of more than one sensory canal pore."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001606>	"caudal scute"^^<http://www.w3.org/2001/XMLSchema#string>	"Scute that is a median bony plate forming anterior to procurrent caudal fin rays."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000620>	"autopalatine"^^<http://www.w3.org/2001/XMLSchema#string>	"Endochondral bone that is part of the antero-lateral region of the palate. Commonly, it articulates with the maxilla anterolaterally and with the ethmoidal region medially. It may also articulate with the dermopalatine ventro-laterally and with the entopterygoid posteriorly. The autopalatine is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000784>	"fast muscle cell somite 15"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2007062>	"olfactory field"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/IAO_0000115>	"definition"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4000141>	"obsolete intramembranous ossification"^^<http://www.w3.org/2001/XMLSchema#string>	"Direct ossification that occurs within mesenchyme with the formation of an osteogenic condensation not associated with a perichondrium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001266>	"ovarian follicle stage III"^^<http://www.w3.org/2001/XMLSchema#string>	"Stage III (340-690 microns) are vitellogenesis. Selman et al, 1993."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005083>	"ventral branch nasal ciliary artery"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000644>	"obsolete dental plate"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002267>	"epineural 5"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200079>	"dorsal iliac process"@en	"Posteriordorsal process of the ilium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000813>	"infraorbital lateral line neuromast"^^<http://www.w3.org/2001/XMLSchema#string>	"Neuromast that is part of the infraorbital lateral line. Kimmel et al, 1995. (Also see Anatomical Atlas entry for lateral line by T. Whitfield.)"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000756>	"fast muscle cell somite 24"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000936>	"zonal element"^^<http://www.w3.org/2001/XMLSchema#string>	"All those parts of the pectoral girdle in the central region of the zonal area."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000853>	"somite 18"^^<http://www.w3.org/2001/XMLSchema#string>	"Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000005>	"obsolete basihyal element"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001014>	"myotome somite 13"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the somite giving rise to body wall muscle masses. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000234>	"macula neglecta"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4000002>	"obsolete mode of ossification"^^<http://www.w3.org/2001/XMLSchema#string>	"The formation of bone or of a bony substanc, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001608>	"autopalatine-lateral ethmoid joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the autopalatine and lateral ethmoid and bones. Autopalatine-lateral ethmoid joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000768>	"hypaxial region somite 14"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000104>	"suprapreopercle"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that is located dorsal to the preopercle or lies on the antero-dorsal corner of the opercle, and encloses the upper section of the preopercular canal. The suprapreopercle is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2007028>	"spinal cord neural keel"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200083>	"postaxial centrale"@en	"Centrale in the postaxial region of the mesopodium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002232>	"presumptive cardiac ventricle primitive heart tube"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200004>	"intertrochanteric fossa"@en	"Depression on the ventreal side of the femoral head. Associated with the pubioischiofemoralis externus muscle. "^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001154>	"anal fin musculature"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002256>	"blind side"^^<http://www.w3.org/2001/XMLSchema#string>	"Organism subdivision that is the side of the body lacking eyes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000440>	"planum terminale"^^<http://www.w3.org/2001/XMLSchema#string>	"Vertical plate of cartilage that is fused posterodorsally to the oblique cartilage and anteriorly to the lamina inferior."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/uberon/phenoscape-anatomy#ATTRIBUTION_REQUIRED>	"expert consultation and attribution required"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002257>	"premaxilla dentigerous process"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200099>	"lateral extrascapular"@en	"The most lateral of the paired series of extrascapular bones and is the bone where the intersection of the otic, postotic and extrascapular or supratemporal canals occur."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001567>	"obsolete oocyte stage I"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000565>	"skeletal support for eminentia olfactoria"^^<http://www.w3.org/2001/XMLSchema#string>	"Elevation of the dorsal surface of the solum nasi medial to the fenestra endochoanalis that provides support for the eminentia olfactoria."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000498>	"dilator operculi"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000468>	"anterior crista primordium"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000746>	"epaxial region somite 28"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000802>	"fossa glenoidalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Concave articular facet of the vertebral centrum for the articulation with the adjacent centrum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010586>	"vasa efferentia"^^<http://www.w3.org/2001/XMLSchema#string>	"Sperm travel through these 4 or 5 fine ducts which pass through the mesorchium from the testis to the sexual kidney."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000841>	"slow muscle cell somite 14"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000170>	"fenestra precerebralis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001872>	"trunk sensory canal system"^^<http://www.w3.org/2001/XMLSchema#string>	"Lateral line system on trunk."^^<http://www.w3.org/2001/XMLSchema#string>
